QUESTION,BT LEVEL,Processed Question,Prediction (Naïve Bayes),Prediction (Random Forest),Prediction (SVM)
Evaluate the benefits and drawbacks of artificial drainage. ,Evaluation,evalu the benefit and drawback of artifici drainage.,Analyze,Analyze,Analyze
"By assuming other factors (pH, water content and etc.) are being equal in clay loam and sandy loam, state which soil would be expected to have higher organic matter content. Justify your answer. ",Evaluation,"by assum other factor (ph, water content and etc.) are be equal in clay loam and sandi loam, state which soil would be expect to have higher organ matter content. justifi your answer.",Understand,Remember,Understand
"Describe how the soil colloidal complex tends to serve as a ""reservoir"" for plant nutrients. ",Comprehension,"describ how the soil colloid complex tend to serv a a ""reservoir"" for plant nutrients.",Understand,Remember,Understand
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer. ,Evaluation,predict the effect on bulk densiti when a larg quantiti of organ matter is ad into the soil. justifi your answer.,Analyze,Analyze,Analyze
Fertilizer that is extremely high in phosphorus content is essential for flowering. Justify. ,Evaluation,fertil that is extrem high in phosphoru content is essenti for flowering. justify.,Analyze,Analyze,Analyze
Discuss TWO adverse consequences of using wetlands as recipients of irrigation wastewater. ,Comprehension,discu two advers consequ of use wetland a recipi of irrig wastewater.,Understand,Apply,Understand
List and briefly describe the FOUR soil forming processes. ,Comprehension,list and briefli describ the four soil form processes.,Understand,Remember,Understand
Define cation exchange capacity (CEC) and discuss how CEC influences the status of nutrients in soil. ,Comprehension,defin cation exchang capac (cec) and discu how cec influenc the statu of nutrient in soil.,Understand,Remember,Understand
Briefly explain how tillage will influence the density of soil. ,Comprehension,briefli explain how tillag will influenc the densiti of soil.,Understand,Evaluate,Understand
Explain the role of mesofauna in the decay of fresh organic matter.,Comprehension,explain the role of mesofauna in the decay of fresh organ matter.,Understand,Evaluate,Understand
Describe how the increase of soil organic matter level may immobilize some nutrients in soil. ,Comprehension,describ how the increas of soil organ matter level may immobil some nutrient in soil.,Understand,Understand,Understand
Write a short note about mulch and how mulching could help in controlling soil temperature. ,Comprehension,write a short note about mulch and how mulch could help in control soil temperature.,Create,Create,Create
"Briefly discuss how the use of manure, organic by-products and commercial fertilizers have changed over time. ",Comprehension,"briefli discu how the use of manure, organ by-product and commerci fertil have chang over time.",Understand,Understand,Understand
Describe how soil surface roughness affects both water and wind erosion. Suggest ways to increase roughness to reduce erosion. ,Synthesis,describ how soil surfac rough affect both water and wind erosion. suggest way to increas rough to reduc erosion.,Understand,Remember,Understand
Define soil bioremediation. ,Knowledge,defin soil bioremediation.,Remember,Remember,Remember
Identify the advantages and disadvantages of in situ and ex situ means of remediating polluted soils. ,Comprehension,identifi the advantag and disadvantag of in situ and ex situ mean of remedi pollut soils.,Analyze,Analyze,Analyze
Define soil horizon and relate it with soil profile. ,Comprehension,defin soil horizon and relat it with soil profile.,Understand,Remember,Understand
Briefly explain which characteristics of alluvial soils make them ideal for agriculture. ,Comprehension,briefli explain which characterist of alluvi soil make them ideal for agriculture.,Understand,Create,Understand
"Discuss why physical weathering is more prevalent in dry, cool regions while chemical weathering is more prevalent in wet, hot regions. ",Comprehension,"discu whi physic weather is more preval in dry, cool region while chemic weather is more preval in wet, hot regions.",Understand,Understand,Understand
Distinguish between products from physical and chemical weathering. ,Analysis,distinguish between product from physic and chemic weathering.,Analyze,Analyze,Analyze
Briefly explain how clay particles and soil organisms influence soil structure. ,Comprehension,briefli explain how clay particl and soil organ influenc soil structure.,Understand,Understand,Understand
Discuss the importance of soil structure in vegetable farms. ,Comprehension,discu the import of soil structur in veget farms.,Understand,Understand,Understand
Describe how pore size can affect water retention in soil. ,Comprehension,describ how pore size can affect water retent in soil.,Understand,Remember,Understand
Describe soil colloids and their importance. ,Comprehension,describ soil colloid and their importance.,Understand,Remember,Understand
"In soil pH, define buffering and explain why it is important in soils. ",Comprehension,"in soil ph, defin buffer and explain whi it is import in soils.",Understand,Understand,Understand
Classify soil organisms according to their ecology and state TWO examples for each group. ,Comprehension,classifi soil organ accord to their ecolog and state two exampl for each group.,Understand,Understand,Analyze
Soil organic matter content will differ depending on environmental conditions. Justify with TWO examples. ,Evaluation,soil organ matter content will differ depend on environment conditions. justifi with two examples.,Understand,Apply,Understand
Explain why mycorrhizal fungi are important for phosphorus availability in soil. ,Comprehension,explain whi mycorrhiz fungi are import for phosphoru avail in soil.,Understand,Understand,Understand
Describe how soils are involved in the greenhouse effects. ,Comprehension,describ how soil are involv in the greenhous effects.,Understand,Remember,Understand
Describe whether the soil is contaminated or polluted. ,Comprehension,describ whether the soil is contamin or polluted.,Understand,Remember,Understand
"State TWO examples for inorganic and organic contaminants, respectively. ",Knowledge,"state two exampl for inorgan and organ contaminants, respectively.",Understand,Remember,Understand
Briefly discuss THREE factors with ONE example each that should be considered when determining fertilizer placement method. ,Comprehension,briefli discu three factor with one exampl each that should be consid when determin fertil placement method.,Understand,Understand,Understand
